,0
1730,kpai tuh di pasar tanah abang ada banyak kaos anak2 berlogo marlboro dll juga mainan anak mobil2an dgn logo dan tulisan rokok tsb
1731,masih mending ada yg mau memperhatikan cuma numpang promosi wajar ga ada makan siang gratis yang penting nilai positifnya lebih besar nanti diakherat kpai tunggu aja di pintu surga biar ga ada beban
1732,wkwkwkwkwk yang harus ditanyakan saat melakukan survey itu ya jangan statement djarum nya udah jelas merupakan brand rokok yang sudah membumi di indonesia puluhan tahun mestinya pertanyaan yang diajukan itu statement apa yang anda ketahui tentang pb djarum pertanyaan yang diajukan dalam surveynya itu khan sudah menggiring ke sebuah opini
1733,yakalo emang masalah kenapa gadari duluuu kpaiiiii
1734,bubarkankpai tololnya udah keterlaluan
1735,ada benarnya juga sih klo dipikir2 kpai walau yaa ga sepenuhnya benar sebenernya yg perlu bertanggungjawab adalah pemerintah
1736,lalu untuk sinetron di layar kaca apakah sudah melalui kajian2 seperti yang anda lakukan pada kasus pb djarum dan apakah sudah dikaji mengenai dampak dari sinetron2 tersebut apakah memajukan generasi muda ataukah malah sebaliknya
1737,bubarkan kpai paling tidak gaji personelnya bisa dialihkan untuk membiayai audisi tanpa sponsor untuk tingkat kelurahan
1738,mkn kpai kurang bijaksana melihat dg kacamata kuda uu saya kira jg bisa dipahami dengan semangat keadilan tidak langsung nembak langsung konpres dg judul eksploitasi anak mmng menyakitkan bagi badan yg merasa sdh banyk menghasilkan orang2 berprestasi untuk negara
1739,u2 63logikanya sangat sederhana kalo ga ad gunanya bubarin saja
1740,apa sih yg bisa dibanggakan dari kpai apa sih yg sudah kpai lakukan untuk bangsa ini mereka pernah ngapain aja saya kok tidak mengetahui apa2 soal kpai ini ya bisa tolong diberitakan soal prestasi kpai kah
1741,bubarkankpai setujuuuuuuu
1742,u2 63kalo dinegara maju sih perusahaan rokok dilarang keras dalam u2 63mensponsori semua kegiatan olah raga tapi kan itu di negara maju disini kan bukan negara maju padahal udah ada undang yg mengaturnya sebenarnya inti dr polemik ini kan gara porsi pemerintah dalam menjaring bibit muda kalah jauh dibandingkan dengan pihak swasta nah pas pihak swasta dilarang menggunakan attribut perusahaannya ya mana mw mereka wajar lah buat apa buang duit kalo kg ada feedbacknya buat mereka
1743,emang brand image dan brand color apa ada dampaknya bagi anak2 apa ada buktinya anak terpengaruh jadi perokok selama ini justru hmpir smua pebulu tangkis dunia lulusan pb jarum wajar donk karena memang itu pb jarum ato mngkin uang dari pb jarum gak ngalir ya dan blm pernah orang tua protes ikut pb jarum malah org tua pngn anaknya bisa masuk pb jarum kpai hmpir sama dgn komnas ham spertinya kedua lembaga ini pantas utk dibubarkan user
1744,yg laksanain audisi kan pb itulah sumbangsih yg mungkin bisa dilakukan djarum ya terlepas ada embel2 nama djarum di pb djarum ya itu kan jelas nama penyandang dana masak harus dinamain pb harum
1745,logika kpai yang perlu dipermak mana ada didunia ini sponsor dilarang mencantumkan logo dan atribut tujuan utama mensponsori ya biar produk dikenal dan berdampak pada peningkatan penjualan kecuali sedekah yang ikhlas ga usah sebutin nama koplak koq tingkat dewa
1746,tuh depan lampu merah disetiap sudut kota liat aja nyata terjadi eksploitasi anak mana kpai nya jgn bersilat lidah berlindung dibalik uu nyatakan dulu kerja anda dibalik nama kelembagaan nya ah capeklah ngetik2 jg didengerin jg ngak
1747,pb djarum berada dibawah djarum foundation yaitu perusahaan nirlaba dari pt djarum disini bisa dilihat bahwa tujuan pb djarum bukan mencari keuntungan dengan menjual produk rokok tapi murni untuk memajukan bulutangkis di indonesia salah satunya dengan mencari bibit atlet agar regenerasi atlet berjalan lancar karena tidak mungkin atlet yg sudah berumur terus dipaksakan bermain hingga 1 2 yg akan datang ada kalanya mereka memutuskan gantung raket dan yang menggantikannya sudah siap
1748,prestasi olahraga yang menonjol cuma dari badminton dan salah satu kawah candradimuka nya adalah audisi pb djarum kalau ditutp audisi itu susah sekali dapat bibit2 baru olahraga badminton ini siap2 ucapkan selamat tinggal medali emas olimpiade di masa depan
1749,s7 banget nih buburin kpai ga guna banget ntu djarum nama paten nya dan yg sponsorin audisi kalo di larang kpai aje yg sponsorin audisi bulutangkis tuk cari bakat anak muda hhhmmmmm
1750,baca tuh semua twitter emang enak dihujat selama ini selalu dipuji
1751,ciri khas negara berkembang sponsor olah raga pakai perusahaan rokok
1752,emang rokok di larang di indonesia emang rokok barang terlarang apa anak2 yg di audisi di paksa untuk merokok kan tidak kecuali rokok di larang di indonesia dan anak2 yg ikut audisi di suruh foto dgn rokok baru kpai bisa bicara
1753,jadi sebenarnya masalah brand logo atau eksploitasi sih kmren baca krna eksploitasi ya klw gk salh
1754,kpai ini kurang kerjaan di jalan raya besar iklan rokok non stop 24 jam pada liat ga si
1755,memangnya ada selain produk rokok yang mau menyandangkan dananya bubarkankpai
1756,saya setuju sama kpai sih misal emang niat djarum itu tulus untuk mencari potensi atlet pebulutangkis fokus aja ke tujuannya tanpa iklan2 rokok tanpa spanduk rokok tanpa menonjolkan rokok kalau ada iklan rokok sama saja ini racun terselubung misal bener tulus baik hati mencari atlet bulutangkis handal di seluruh pelosok nusantara loh ya pasti ga mementingkan iklan pure social activity dan pengabdian tanpa pamrih logikanya itu aja sih mikir
1757,kpai mau jadi penyandang dana bibit2 muda bubarkankpai
1758,pertanyaan saya sederhana apakah semua orang di kpai bukan perokok aktif
1759,bubarkankpai kerja gak jelas apa buat sensasi saja
1760,itulah kpai mikirnya pake dengkul jadi dangkal
1761,gaji orang2 kpai aja gantiin sponsor djarum biar audisi bulutangkis tetep lanjut tapi jangan ada logo dan brand kpai situ mau
1762,mungkin kpai kepengen ganti pb djarum menjadi pb paku atau pb golok atau mungkin pb simatupang pb atau tb ya jadi terbalik2 gegara kpai
1763,wong pb yg punya djarum mosok dinamai silet
1764,pb kpai
1765,coba kpai survey kegiatan pb djarum lebih banyak manfaatnya atau mudaratnya pecatpenguruskpai
1766,wajar kalo cuman promosi namanya juga penyandang dana kalo atlet nya di suruh ngerok k ya lu boleh ribut bubar kan kpai
1767,logika bodol saja dan kaca mata kuda saja yg dipakai kpai sehingga pemahamannya mentah moga kehidupan mereka itu membumi sehingga bisa memahami arti hidup sebenarnya ini aktifis sontoloyo mengharapkan semua orang ikut pemikirannya padahal mereka belum memahamiarti hidup bersama dgn orang yg tidak sama pandangannya
1768,mungkin pengurus kpai ini terlaku pandai jadi kita yg nggk tau cara berpikir mereka jadi sebaiknya di ganti saja pengurus kpai nya
1769,kita jgk g ngerti sama logika km kpai audisi bagus mandiri n hasilkan atlit kelas dunia kok dilarang knp g sekalian orang tua g boleh pondokin anak nya waktu masih kecil bubarkankpai
1770,lembaga kpai enaknya di bubarkan saja gk ada untungnya pemerintah membiayainya hbskan anggaran tok
1771,jika kpai menitik beratkan kepada masa depan anak ini maka kita kembalikan apakah negara sudah siap dengan plan jalur prestasi untuk bidang olah raga yang tanpa di gandeng oleh swasta coba kita tengok turnamen sepakbola pemerintah pun berdampingan dengan pihak swasta untuk menyelenggarakannya jika konteks survei yg dilakukan hanya menitik beratkan pada kata djarum maka salahkan produknya karena pb djarum hanya salah satu anak perusahaan yg peduli terhadap prestasi anak negeri dalam bidang bulutangkis jadi monggo jika kpai sudah mantab dengan keputusannya maka harapan kami selamatkan mimpi anak bangsa untuk berkiprah di bidang bulutangkis agar tetap dapat mempertahankan harumnya dikancah internasional walaupun sebelumnya atlit tersebut diseleksi dan dibesarkan dr sebuah perusahaan rokok tersebesar yang masih peduli terhadap nama indonesia bukan hanya meraup keuntungan dari prodak penjualannya
1772,kalo gak ada logo atau gambar mau dapet duit dari mana dul mendingan bikin aja pb kpai biar enak dan damai gimana
1773,semoga diberi kemudahan jangan sampai mimpi anak bangsa menjadi atlit bulu tangkis sirna dan malah stres sehingga pake narkoba dan ke hal hal buruk lainnya aamiin
1774,semoga diberi kemudahan jangan sampai mimpi anak bangsa menjadi atlit bulu tangkis sirna dan malah stres sehingga pake narkoba dan ke hal hal buruk lainnya aamiin
1775,hallo komisaris kpai jgn anda bicara mengenai prestasi anak2 bangsa melalui pb jarum yg dikait kaitkan tentang merokok krn pb jarum adalah perusahaan rokok zaman skrg anak usia sd klas vi sdh ada yg merokok n bagian pengguna narkoba apa tindakan kpai slama ini trhdap mrk anak2 tsb n apakah kpai sdh bs melakukan yg terbaik kpd anak2 spt pb jarum klu blm prh ya kalian kpai bubar aja klu cuma makan gaji buta kerja y triak2 doang
1776,pengurusnya kpai saja diganti total lakukan pemilihan ulang masih sangat sangat banyak permasalahan anak disekitar kita eh kok ngurusin pb djarum
1777,hadehhh kpai parah jg ya ga bs ngebedain pb djarum sama pt djarum bego apa tolol sih
1778,terus logonya ganti logo kpai sedih oi ini olahraga pembinaan olahraga ya dari dini bos
1779,pasti ibunya nih anakny gak lolos seleksi ataugak gak ada prestasi sama sekali makany gak peduli dia sama anak2 yg berprestasi bubatkankpai
1780,bubarkankpai organisasi ga guna dan unfaedah
1781,masalahnya mbaaak knp baru sekarang dimasalahkaaan kan itu aturan dari thn 2 12 trus kegiatan djarum juga udah ber tahun2
1782,mungkin hasil penelitianya benar tapi peneyebab mereka merokok bukan krn audisi bulu tangkis atau kaos yang dipakai dsb tapi lebih ke faktor lingkungan klo memang peduli ini harusnya yang digarap siapapun juga tau klo djarum itu rokok tapi kuga bukan dari audisi juga kpai tidak fair unfaedah saya setuju bubarkan saja
1783,kpai minta jatah
1784,klo gitu sekalian aja iklan rokok di tv radio media cetak sampai online dilarang jg kecuali ada maksud tersembunyi
1785,logika lu kpai dmna namanya jg sponsor jd y wajar x ad logo sponsor nya bubarkan kpai ga ad faedah nya sinetron2 n acara2 tv yg ga senonoh banyak di tonton anak2 aj ga diurusin malah ngurusin pb djarum
1786,kl anak2 yg di ekspos buat demo2 berjilid2 dipakai buat alat politik kok kpai bungkam coba donk kpai jelaskan jangan ngeles
1787,lu pikir mau bina atlit bayar pakai ludah logika lu mana
1788,gak ada urusan lain apa ya program udah bagus mencari bakat generasi muda kecuali lu ada program pengganti yang selevel wah gela seh ini
1789,namanya juga sponsor mana ada sponsor mau membiayai tapi produknya ga boleh ditampilin uda rumus ekonomi itu kalau kpai keberatan ya ganti kpai dong yang modalin
1790,dg logika yg sama bolehkah kl sy minta kpai jg melarang pertamina shell toyota honda dll anda tahu gak produk2 mereka sejatinya berbahaya bg kesehatan menimbulkan polusi asap belum lagi pabrik korek api dsb dll berbahaya itu semua bg kesehatan terutama anak2 jgn lupa indofood sg indomienya pinter kan saya sama dg kpai
1791,punya otak buat mikir selalu menganggap masyarakat kita bodoh bubarkankpi
1792,dgn meminta pb djarum utk stop memggunakan atribut djarum kepada anak2 yg ikut apakah bisa lamgsungbuat anak2 tdk akan merokok seharusnya yg di protes itu adalah toko2 warung2 dan supermarket yg menjual rokok
1793,lha selama ini yg bikin indonesia juara di badminton siapa yg mendidik dari mana sponsor dari mana tolong klo pengen minta sponsor minta aja skrg prestasi kpai apa digaji juga dari apbn bukannya mendukung malah bikin rusak prestasi bangsa tetap bubarkankpai
1794,bubarkankpai apa hasil kerja anda
1795,kpai tidak ada gunanya habiskan a nggaran negara bubarkan saja mubazir mending uangnya dipakai untuk audisi anak2 berbakat bidang olahraga
1796,bubarkan kpai bukan kali ini saja kpai unfaedah sudah sering kaleeee kl ada kasus2 selalubkpai membela yg salah selalu seharusnya introspeksi cuk
1797,woi kpai govlok bilang warga otak dangkal coba lu liat pb djarum itu persatuan bulutangkis bukan jualan rokok namanya sponsor pasti pasang label lah masalah anak2 rokok ga rokok ya itu masalah ortunya bukan pb djarum nya emang anak2 ad yg disuruh iklan ngerokok yuk anda yg otak dangkal wahai kpai lagian anak2 demo diem aja looo
1798,pernah nggak ada penelitian tentang idola atlet yg dari club yg disponsori rokok trus karena mengidolakan atlet itu akhirnya jafi ngerokok nggak ada hubungannya itu djarum memang dr dulu udh dikenal abg perusahaan rokok tp bukan berarti anak2 gara2 fans sama atletnya trus jadi ngerokok nggak masuk akal dulu2 kmn aja knp skrg baru ribut
1799,kpai pengidap djarum pobia kasian deh
1800,justru kpai berpikir sempit sukanya bikin heboh aja tp kpai nihil terobosan kalo ga penting mending kpai bubarin aja deh
1801,pertanyaannya kpai melakukan survey nggak penyebab atau dorongan anak atau orang yang merokok akibat promosi pb djarum lewat bulutangkis geblek bubarkankpai
1802,kpai gak ada kerjaan nya klo hal2 yg berbau duit cepet coba klo hal berbau pidana ya cuman liat trus ilang begitulah kenyataannya
1803,bubarkankpai
1804,sepertinya kpai di serang oleh para ahli hisap nih negara 62 gitu lho negara surganya ahli hisap ud83d ude 2 ud83d ude 2 ud83d ude 2
1805,lha yang saya tidak mengengerti lagi logika berpikir kpai di mana apa kalian belum bisa menerjemahkan mana yang iklan mana yang tidak dimana mana sponsor selalu menampilkan logonya kebanyakan makan micin ya
1806,selama 24 tahun saya hidup di dunia tidak pernah ada niatan merokok gara gara mengidolai pebulu tangkis kpai mengada ada saja bubarkankpai
1807,gw bingung wadah yg jelas2 menghasilkan generasi yg membanggakan bangsa malah dikritik klo masalah logo atau brand ya wajar lah soalnya mereka yg ngeluarin dana kok klo emang berani dan bisa bikin tuh pabrik rokok di indo tutup semua br gw acungin jempol
1808,susah lah lawan gurita haha
1809,banyak alasan kau
1810,kpai sy kira ndak ada faedahnya bubarkan saja
1811,biar aja produk roko emang uangnya dari sana kalau ga siapa yang mau bayar uang dari mana kayak bisa kejait aja kalau cuma ada benang ga ada jarum
1812,ya itu tugas kpai utk sosialisasi kepada anak agar tdk berpikir negatif dengan nama djarum bukan lantas minta menurunkan brand atau logo tsb hadehh sejak saya lahir hampir 4 th lamanya sudah familiar dengan nama djarum sbg merk salah satu rokok lalu apakah saya jadi merokok tidak pernah sama sekali yg saya pahami pb djarum adalah tempat pembinaan para atlet badminton itulah yg harus disosialisasikan ke anak2 pembinaan ke anak2 agar bs menggapai mimpinya utk berprestasi
1813,harusnya dari kpai turun buat penyuluhan ke orang tua masing2 bukan karena ada logo rokok jadi anak2nya ngerokok atlit yg diidolakan saja gak ngerokok gak mungkin cuma ngeliat logo rokok jadi ngerokok logikanya dimn
1814,bubarkan kpai gak punya kerjaan makan gaji buta
1815,kpai gagal paham dalam simbiosis bisnis
1816,pegawai kpai apa tidak merokok
1817,coba tanya suami anak keluarga anda apakah mereka perokok kaca kaca kirim ke kpai
1818,ini bicara logika atau gak ngarti yah di dunia gak ada yg gratis buang air kecil aja bayar rp 2
1819,selama ini ngapain aja kpai coba liat ke daerah banyak itu anak2 gak bener bukan cuma merokok aja ngapain aja lu lu pikir djarum seleksi anak2 berbakat biaya nya pake daon mangga ada solusi pendanaan atau intinya cuma cari dana yg otak nya dangkal kpai antara dangkal atau kepinteran cari komisi urusan belakangan perlindungan anak indonesia nya
1820,kalo ada solusinya saya dukung tapi kalo g ada solusi hujat kpai
1821,mau ngetop di ilc serang jokowi olahraga serang pb jarum orang paling kaya dan pemilik bca
1822,logikanya gini deh bu kalau perusahaan mensponsori sesuatu pasti menuntut agar nama perusahaannya dicantumkan kalau tidak boleh dicantumkan lalu apa insentif bagi perusahaan coba deh kpai carikan donatur selain djarum bisa nggak kalau nggak bisa mendingan jangan larang2 deh kalau mau menekan angka penjualan rokok jangan begitu caranya kasih edukasi kpd masyarakat udah prestasi olahraga kita nyungsep di mata internasional pakai ngatur2 perusahaan mana yang boleh mensponsori event olahraga
1823,dimana kpai
1824,sedih klo bulutangkis gk juara lg gara2 kpai rupanya kpai senang dan bangga melihat indonesia dihina sama negara lain karena prestasi olahraga semakin menurun bubarkan kpai
1825,gini aj deh kpai bisa ngga nyari sponsorship spt djarum untuk menggantikan peran pb djarum kl mmg harus bukan dr produk rokok sok kita tunggu buat dulu penggantinya baru bubarkan pb djarum saat ini pemerintah ngga punya dana besar untuk majuin setiap cab olah raga yg kelasnya dunia lalu kl ada beasiswa dr pb djarum knp ngga toh anak didiknya ngga ada yg dicomot buat jd brand ambassador produk rokok nya lebay mening urusin tuh bocah2 yg ortunya terpapar radikalisme yg bawa anak2 demo khilafah itu yg urgent ketimbang ngoprek2 sesuatu yg udh terbukti lebih bermanfaat buat bangsa
1826,apakah kpai menggunakan cara berpikir sebagai pihak djarum
1827,anda orang pintar tapi di sini anda terlihat bodoh dengan anda menjawab seperti itu untuk masalah perokok usia dini itu sudah semestinya jadi tamparan keras vuat keluarga jangan malah menyalahkan pabriknya dan jangan salahkan promosi mereka karena merekapun promosi atau iklan di jam malam yang notabennya anak kecil sudah tidur dan kalau pengawasan benar juga ngga bakalan kena rokok ko
1828,pb djarum bukan produk rokok bubarkankpai
1829,pb djarum bukan produk rokok bubarkankpai
1830,logika kpai dmn pb djarum sbg penyandang dana wajar logonya mau ditampilkan dlm audisi
1831,bubarkankpai dibayar pake uang rakyat cuman utk bersilat lidah anak2 kampanye pilpres terpapar radikalisasi mengalami pelecehan dibiarkan
1832,pemikiran dangkal opo dengkul
1833,selama ini pb djarum sudah banyak melahirkan atlit2 bulutangkis yang mengharumkan bangsa dan mereka melakukanya juga pastilah membutuhkan dana mereka putar mendapatkan dana dari iklan masa hal itu mau ditutup jalan tengahnya iklan boleh ditutup tapi kpai membiayai dana untuk atlit mampu ngga saya yakin pasti kagak mampu jadi jangan dihalangin lah negara2 lain juga melakukan hal yang sama jangan dianggap rakyat bodoh semua ya kpai saya sebagai rakyat juga ingin melihat bangsa berprestasi
1834,goblok di pelihara kpai
1835,djarum sih gak rugi yang rugi ya anak2 bangsa yang tidak mendapat kesempatan untuk berkarir coba cari sponsor lain yang mau
1836,setuju stop program djarum penjaringan atlet bulutangkis pengen tahu dampak nya terhadap kpai dan perbulutangkisan indonesia
1837,omongnya plintat plintut isuk dele sore tempe otak telo nya terlalu jangan2 sdh terpapar paham tertentu nih
1838,dimana kpai
1839,penjeladan kpai kaya orang yg gak tamat sd
1840,bubarkankpai
1841,nahh lohhh kpai gmna tuh
1842,ga becus ni kpai
1843,kalo beasiswa djarum dibubarin karena ada kesan rokok2nya gimana dengan sampoerna yang program csr nya juga banyak kpai berani salah langkah kayanya nih kpai nya
1844,company ko diaamakanndg produk nalarnya dimana km to mbak e
1845,ok kalau mau diajak main logika ya kalau rokok itu haram dan beracun kenapa masih bisa diperjualbelikan sampai saat ini sekalian saja distop nggak bisa kan artinya apa artinya anda semua itu munafik tau nggak pasti ada kepentingan dibalik ini semua
1846,sekalian aja anak anak dilarang tinggal di kota kudus karena penghasil rokok kliatan koplaknya kpai pb djarum ada sebelum kpai berdiri ngerti opo ora bu
1847,skr yg pasti djarum udah ga mau ngurus jadi terserah kpai sebodo amat lah
1848,coba sekali2 kpai perhatikan juga sinetron2 yg mengajarkan pernikahan dini pacaran usia dini kebut2an dijalan supaya adil
1849,para juara bulutangkis jebolan pb djarum yg telah mengharumkan nama indinesia di mata dunia apakah perokok semua kalaupun ada yg perokok apakah rokoknya merk djarum buat pb kpai aja bu
1850,bertahun tahun djarum berkiprah berjasa menelorkan pebulutangkis hebat buat indonesia kenapa baru sekarang di permasalahkan selama ini kemana aja halooo mending urusin aja tuh anak anak yg masih banyak menjadi korban kekerasan seksual
1851,tanyakan anak2 itu merokok tidak sebelum atau setelah ikut atau menonton audisi pb djarum
1852,klo gtu lu yg sponsorin kuyak mampu ngga
1853,kalo perusahaan yg bermaslah krn akibat rokok ya kpai bukannya urus pb djarumnya salah kamar
1854,kpai menggunakan logika orang gila survey itu tidak ada relevansinya dng audisi dasar gerombolan orang pekok
1855,u2 63eksploitasi bahasa inggris exploitation yang berarti politik pemanfaatan yang secara sewenang wenang atau terlalu berlebihan terhadap sesuatu subyek eksploitasi hanya untuk kepentingan ekonomi semata mata tanpa mempertimbangan rasa kepatutan keadilan serta kompensasi kesejahteraan pertanyaanya apakah pb djarum menyuruh anak anak itu berlatih keras untuk kepentingan pb djarum atau kepentingan anak itu sendiri yg nantinya mengharumkan nama bangsa ini bubarkankpai
1856,bubarkan kpai yang gak banyak manfaat pemborosan anggaran negara aja
1857,jarum tdk mnyuruh anak anak merokok jarum berhak buat iklan krn merek y suport kgiatan jarum lebih berkontribusi utk anak2 indinesia d banding kpai urus y lebih urgent aja kpai
1858,bubarkan sinetron dan kpai
1859,pb djarum bukan product rokok ga pantas jadi komisioner djarum itu perusahaan konglomerasi bukan product kalau disebut djarum 76 djarum super baru tidak boleh otaknya dimana hei
1860,repot benar hidup ini walo pun di sponsor pabrik rokok anak2 maupun dewasa yg jd atlit tdk akan merokok hny di dukung takut logo nya tolak duit nya sekalian gitu aja repot ud83d ude 6 ud83d ude 6 ud83d ude 6
1861,tolol kok dipelihara djarum juga butuh uang pemasukan lwt sponsor dll uang yg didapat juga buat byar pajak alias bayar gaji2 ente emang gaji ente didapat dari demo akbar kavling surga kalau pb djarum terbukti melatih anak2 itu dengan disuru mengisap rokok itu baru lu koar2
1862,mungkin ini ada tidak baiknya tp kenapa menjadi prioritas masih banyak yg lain yg lbh penting bahkan brand rokok memang ada tidak baiknya tapi yg baik dan bermanfaatnya juga ada bahkan masih sangat berarti hal yg seperti ini hendaknya tidak menjadi prioritas kpai mending urusin yg lain dulu yg ini dibicarakan baik2 dulu jangan langsung nge gas
1863,kan dia pake nama djarum fondation bkn djarum super merk rokok nya walopun sama2 djarum tp kan 2 entitas berbeda
1864,apa mungkin kpai hanya alasan aja masalah logo aslinya minta dana
1865,kayaknya percuma deh ngomong ama kpai bebal yang sudah dapat sponsor dari bloomberg tujuannya memang menghancurkan pabrik rokok lokal indonesia agar pabrik rokok internasional di belakang bloomberg bisa membeli pabrik rokok lokal dan menguasai pasar
1866,goblok itu anak2 udah ga zamannya ngerokok tau udah zamannya sinte lebih baik kalian urus itu barang berbahaya daripada logo atau brand produk rokok atau lebih baik djarum pindahkan aja pabriknya ke vietnam gitu kah
1867,logikanya sederhana aja bu coba keluarin data anak mana yang seneng nonton bulutangkis dan mengidolai atlet nonton bulutangkis ada djarumnya jadi ngerokok ada juga karena saking mengidolai itu anak pengen jadi atlet dan jadi jauh dari rokok
1868,ganti logo ya dengan susu dot bukutangkis masih banyak yg perlu dibenerin yang lebih bermanfaat pak bu kpai
1869,yg ribet pola pikir mu bu
1870,kalo 68 anak menjawab jarum tsb adalah rokok brarti anak sudah teredukasi dengan baik belum tentu 68 anak tersebut perokok dan belum tentu beberapa anak yang merokok tahu tentang rokok dari brand yang ada di olah raga
1871,sepertinya sudah ada usulan untuk meniadakan kaos djarum dan menggunakan nama audisi lain tapi tetap saja kpai tidak berkenan bagaimana kalau kpai yang bikin audisi
1872,tidak ada hubungan sama sekali brand djarum di audisi itu mengacu ke pb djarum urusannya badminton bubarkankpai
1873,terlalu cocokologi harusnya pendalaman hipotesisnya lebih jauh lg dgn berbagai objek penelitian bukan random samping terima kasih kpai uda menutup 1 dari banyak pintu menuju impian anak2 dgn cara yg tidak bijak
1874,kalo ngurusin djarum duidnya banyak jadi pada mitna dibagi amplop ya kok ngak ngurusin pergaulan bebas penjualan rokoknya dkk
1875,orang yang sangat bodoh hingga ngga bisa sadar kalau dia bodoh sekali
1876,kpai harus belajar kemitraan dari jaman batu hingga zaman angin it begini tidak satupun sponsor tanpa menyertakan logo brand dari produknya kalau mau bermanuver yang lepas dari kemunafikan ya tutup aja semua perusahaan rokok berani
1877,nama depannya aja sdh u2 1ckomisi u2 1d berarti apa tuuuh
1878,bubarkankpai
1879,bagus juga jadi semua pabrik rokok dan beer tidak perlu ikut aksi sosial mending uang nya buat inves negara lain beli klub sepakbola inggris di indonesia ribet
1880,kepinteran tapi radong blas begitulah kalau kebanyakan komisi di indonesia ini pekerjaannya tidak pernah jelas menghabiskan uang pajak kita saja kalau komisi ini nirlaba mungkin masih masuk akal tapi kalau dibayari negara kita juga harus mulai berfikir lagi masih perlu tidak kpai di indonesia ini
1881,benar juga seh di dunia cuma di indonesia saja kegiatan olahraga di sponsori dari perusahaan rokok makanya atlit indonesia napasnya ngos2an
1882,ini akibatnya kalau mengikuti peraturan seperti kuda tidak bijak dan melihat gambaran besar dampak dan akibatnya dikemudian hari
1883,lucu biaya pembinaan dari rokok tapi ga boleh ngiklanin rokok halooo belajar ilmu marketing dong mana ada tanpa promosi akan bagus jualannya wajar djarum berhenti pembinaan krn cuman digerogoti dananya tanpa mereka bisa promoin produknya orang berhenti rokok bukan karena iklan kok tapi klo mau matiin industri rokok ya hentikan iklannya simple
1884,anak2 dibawah umur yg ngerokok ngedrug ngelem seks bebas aja bnyk ngapain lu urusin logo doank bubarkankpai
1885,sepertinya ada sponsor besar di balik kpai kenapa langsung menyerang djarum apakah nanti juga akan menembak sampoerna yang program csr nya juga banyak
1886,klu gublokk gak usah banyak bicara bikin netizen jadi gerammmm
1887,sama aja dengan sitti hikmawati tp dilarang pakai nama sitti hikmawati
1888,kebanyakan teori kalian kpai melihat permasalahan pake kacamata kuda lihat juga dari sisi yg lain dong uu pp dll dkk dsb itu buatan manusia tapi kebanggaan seorang anak bangsa bisa mengharumkan nama bangsanya melalui pb djarum itu juga harus kalian lihat
1889,lebih baik urus dampak sinetron pada anak tuh kpai
1890,setuju kpai dibubarkan karena lebih banyak dampak negatifnya daripada positifnya anak2 sekarang berani ngelawan guru orang tua ngelunjak karena dibacking kpai akhirnya banyak anak2 yg tidak disiplin dan bodoh disekolah
1891,ngga sekalian beasiswa sampoerna dicabut
1892,yang ditnya bukan anak anak yg bisa bulutangkis mbok ya jelas jawabannya rokok cuk coba tanya anak yg bisa bulutqngkis jawabanya pasti audisi djarum
1893,harusnya kpai dan semua pihak mendukung pb djarum lebih diperbanyak kalo bisa semua anak2 indonesia ikut pb djarum biar jumlah perokok berkurang drastis itu logikanya tetaplah bersemangat meski dungu
1894,bu kpai malah melemahkan perbulutangkisan indonesia
1895,anak anak diajak demo kpai diem aja anak anak disuruh ngemis kpai diem aja anak anak ikut rusuh teriak teriak bunuh kpai diem aja tapi liat anak anak diaudisi dikasih beasiswa dan dibina talent nya sama perusahaan rokok langsung kpai kayak kebakaran jenggot logikanya di mana
1896,beberapa hasil survey terhadap djarum juga menyebut santet
1897,songong pake bawa bawa logika elu jadi kpai karena gagal nyaleg dari pan aja belagu
1898,survei koq kayak gitu maaf kalau misalnya ada pb baygon pb hit semua anak pasti jawabnya ya obat nyamuk berbahaya untuk dikonsumsi sama dgn rokok yg jg berbahaya utk dikonsumsi ya diajarkan baik2 dan diberi perngertian kepada anak kalau akhirnya dikonsumsi jg berarti salah pendidikannya
1899,pantesan prestasi bulutangkis kita semakin turun sejak dulu memang djarum banyak menelurkan bibit pebulutangkis berbakat dan menjadi juara dunia ternyata hal seperti ini saja dibesar besarkan djarum memperlihatkan kepeduliaannya terhadap generasi muda bangsa dengan mensponsori kegiatan lanjutkan
1900,susah juga perusahaan keluar duit ya pasti mau dapat sesuatu balik khusus yg ini ya iklan jadi lebih baik bikin uu baru dan gencarkan program sponsor dari perusahaan non rokok kaya formula 1 gitu loh
1901,bubarkankpai
1902,kpai berani melarang iklan gula ngga terbukti gula lebih sadis daripada rokok
1903,berarti anak tk sd smp sma yg lomba atau kompetisi bawa nama sekolah juga termasuk eksploitasi dunk hapus semua sekolah dari indonesia kalo perlu dari dunia
1904,lebih baik kpai urus anak2 yg menikah dibawah umur seperti usia dibawah 17 thn
1905,u2 63kalau pakai logika coba disurvey kalau gak ada iklan rokok apa lantas perokok akan berkurang sekali lagi pakai logika apa ada orang atau perusahaan yang mau menggelontorkan duit u2 63 yang jumlahnya tidak sedikit untuk menelorkan atlit yang unggul dan berprestasi tanpa menarik imbalan barangkali anggota kpai mau saweran untuk pendanaan ini mikir pakai logika
1906,alhamdulillah pb djarum akhirnya waras sudah bener ingin membantu olahraga tentu mereka ingin exposure namanya juga bisnis sambil membantu teruskan pb djarum biar tahu kpai kalau dia yang bikin ancur calon olahragawan bulu tangkis
